,Country Name,Ranking,Economy,millions of US dollars
0,USA,1.0,United States,"2,54,62,700"
1,CHN,2.0,China,"1,79,63,171"
2,JPN,3.0,Japan,"42,31,141"
3,DEU,4.0,Germany,"40,72,192"
4,IND,5.0,India,"33,85,090"
5,GBR,6.0,United Kingdom,"30,70,668"
6,FRA,7.0,France,"27,82,905"
7,RUS,8.0,Russian Federation,"22,40,422"
8,CAN,9.0,Canada,"21,39,840"
9,ITA,10.0,Italy,"20,10,432"
10,BRA,11.0,Brazil,"19,20,096"
11,AUS,12.0,Australia,"16,75,419"
12,KOR,13.0,"Korea, Rep.","16,65,246"
13,MEX,14.0,Mexico,"14,14,187"
14,ESP,15.0,Spain,"13,97,509"
15,IDN,16.0,Indonesia,"13,19,100"
16,SAU,17.0,Saudi Arabia,"11,08,149"
17,NLD,18.0,Netherlands,"9,91,115"
18,TUR,19.0,Türkiye,"9,05,988"
19,CHE,20.0,Switzerland,"8,07,706"
20,POL,21.0,Poland,"6,88,177"
21,ARG,22.0,Argentina,"6,32,770"
22,SWE,23.0,Sweden,"5,85,939"
23,NOR,24.0,Norway,"5,79,267"
24,BEL,25.0,Belgium,"5,78,604"
25,CUB,26.0,Cuba,"5,45,218"
26,IRL,27.0,Ireland,"5,29,245"
27,ISR,28.0,Israel,"5,22,033"
28,ARE,29.0,United Arab Emirates,"5,07,535"
29,THA,30.0,Thailand,"4,95,341"
30,NGA,31.0,Nigeria,"4,77,386"
31,EGY,32.0,"Egypt, Arab Rep.","4,76,748"
32,AUT,33.0,Austria,"4,71,400"
33,SGP,34.0,Singapore,"4,66,789"
34,BGD,35.0,Bangladesh,"4,60,201"
35,VNM,36.0,Vietnam,"4,08,802"
36,MYS,37.0,Malaysia,"4,06,306"
37,ZAF,38.0,South Africa,"4,05,870"
38,PHL,39.0,Philippines,"4,04,284"
39,DNK,40.0,Denmark,"3,95,404"
40,IRN,41.0,"Iran, Islamic Rep.","3,88,544"
41,PAK,42.0,Pakistan,"3,76,533"
42,HKG,43.0,"Hong Kong SAR, China","3,59,839"
43,COL,44.0,Colombia,"3,43,939"
44,ROU,45.0,Romania,"3,01,262"
45,CHL,46.0,Chile,"3,01,025"
46,CZE,47.0,Czech Republic,"2,90,924"
47,FIN,48.0,Finland,"2,80,826"
48,IRQ,49.0,Iraq,"2,64,182"
49,PRT,50.0,Portugal,"2,51,945"
50,NZL,51.0,New Zealand,"2,47,234"
51,PER,52.0,Peru,"2,42,632"
52,QAT,53.0,Qatar,"2,37,296"
53,KAZ,54.0,Kazakhstan,"2,20,623"
54,GRC,55.0,Greece,"2,19,066"
55,DZA,56.0,Algeria,"1,91,913"
56,KWT,57.0,Kuwait,"1,84,558"
57,HUN,58.0,Hungary,"1,78,789"
58,UKR,59.0,Ukraine,"1,60,503"
59,MAR,60.0,Morocco,"1,34,182"
60,ETH,61.0,Ethiopia,"1,26,783"
61,SVK,62.0,Slovak Republic,"1,15,469"
62,ECU,63.0,Ecuador,"1,15,049"
63,OMN,64.0,Oman,"1,14,667"
64,DOM,65.0,Dominican Republic,"1,13,642"
65,PRI,66.0,Puerto Rico,"1,13,435"
66,KEN,67.0,Kenya,"1,13,420"
67,AGO,68.0,Angola,"1,06,714"
68,GTM,69.0,Guatemala,"95,003"
69,BGR,70.0,Bulgaria,"89,040"
70,LUX,71.0,Luxembourg,"82,275"
71,UZB,72.0,Uzbekistan,"80,392"
72,AZE,73.0,Azerbaijan,"78,721"
73,PAN,74.0,Panama,"76,523"
74,TZA,75.0,Tanzania,"75,709"
75,LKA,76.0,Sri Lanka,"74,404"
76,GHA,77.0,Ghana,"72,839"
77,BLR,78.0,Belarus,"72,793"
78,URY,79.0,Uruguay,"71,177"
79,HRV,80.0,Croatia,"70,965"
80,LTU,81.0,Lithuania,"70,334"
81,CIV,82.0,Côte d'Ivoire,"70,019"
82,CRI,83.0,Costa Rica,"68,381"
83,SRB,84.0,Serbia,"63,502"
84,SVN,85.0,Slovenia,"62,118"
85,MMR,86.0,Myanmar,"59,364"
86,COD,87.0,"Congo, Dem. Rep.","58,066"
87,SDN,88.0,Sudan,"51,662"
88,JOR,89.0,Jordan,"47,451"
89,TUN,90.0,Tunisia,"46,665"
90,LBY,91.0,Libya,"45,752"
91,TKM,92.0,Turkmenistan,"45,611"
92,UGA,93.0,Uganda,"45,559"
93,BHR,94.0,Bahrain,"44,391"
94,CMR,95.0,Cameroon,"44,342"
95,BOL,96.0,Bolivia,"43,069"
96,PRY,97.0,Paraguay,"41,722"
97,LVA,98.0,Latvia,"41,154"
98,NPL,99.0,Nepal,"40,828"
99,EST,100.0,Estonia,"38,101"
100,SLV,101.0,El Salvador,"32,489"
101,HND,102.0,Honduras,"31,718"
102,PNG,103.0,Papua New Guinea,"30,633"
103,KHM,104.0,Cambodia,"29,957"
104,ZMB,105.0,Zambia,"29,784"
105,CYP,106.0,Cyprus,"28,439"
106,TTO,107.0,Trinidad and Tobago,"27,899"
107,ISL,108.0,Iceland,"27,842"
108,SEN,109.0,Senegal,"27,684"
109,GEO,110.0,Georgia,"24,605"
110,BIH,111.0,Bosnia and Herzegovina,"24,528"
111,LBN,112.0,Lebanon,"23,132"
112,MAC,113.0,"Macao SAR, China","21,979"
113,GIN,114.0,Guinea,"21,228"
114,GAB,115.0,Gabon,"21,072"
115,ZWE,116.0,Zimbabwe,"20,678"
116,BWA,117.0,Botswana,"20,352"
117,HTI,118.0,Haiti,"20,254"
118,ARM,119.0,Armenia,"19,503"
119,PSE,120.0,West Bank and Gaza,"19,112"
120,BFA,121.0,Burkina Faso,"18,885"
121,ALB,122.0,Albania,"18,882"
122,MLI,123.0,Mali,"18,827"
123,MOZ,124.0,Mozambique,"17,851"
124,MLT,125.0,Malta,"17,765"
125,BEN,126.0,Benin,"17,402"
126,JAM,127.0,Jamaica,"17,098"
127,MNG,128.0,Mongolia,"16,811"
128,BRN,129.0,Brunei Darussalam,"16,682"
129,LAO,130.0,Lao PDR,"15,724"
130,NIC,131.0,Nicaragua,"15,672"
131,GUY,132.0,Guyana,"15,358"
132,MDG,133.0,Madagascar,"14,955"
133,COG,134.0,"Congo, Rep.","14,616"
134,AFG,135.0,Afghanistan,"14,583"
135,MDA,136.0,Moldova,"14,421"
136,NER,137.0,Niger,"13,970"
137,MKD,138.0,North Macedonia,"13,563"
138,RWA,139.0,Rwanda,"13,313"
139,MWI,140.0,Malawi,"13,165"
140,MUS,141.0,Mauritius,"12,898"
141,BHS,142.0,"Bahamas, The","12,897"
142,TCD,143.0,Chad,"12,704"
143,NAM,144.0,Namibia,"12,607"
144,GNQ,145.0,Equatorial Guinea,"11,814"
145,CHI,146.0,Channel Islands,"11,736"
146,SYR,147.0,Syrian Arab Republic,"11,159"
147,KGZ,148.0,Kyrgyz Republic,"10,931"
148,TJK,149.0,Tajikistan,"10,492"
149,MRT,150.0,Mauritania,"10,375"
150,NCL,151.0,New Caledonia,"10,071"
151,XKX,152.0,Kosovo,"9,429"
152,MCO,153.0,Monaco,"8,596"
153,TGO,154.0,Togo,"8,126"
154,SOM,155.0,Somalia,"8,126"
155,BMU,156.0,Bermuda,"7,551"
156,LIE,157.0,Liechtenstein,"7,186"
157,IMN,158.0,Isle of Man,"6,684"
158,MDV,159.0,Maldives,"6,190"
159,GUM,160.0,Guam,"6,123"
160,MNE,161.0,Montenegro,"6,096"
161,PYF,162.0,French Polynesia,"6,080"
162,CYM,163.0,Cayman Islands,"6,028"
163,BRB,164.0,Barbados,"5,638"
164,FJI,165.0,Fiji,"4,943"
165,SWZ,166.0,Eswatini,"4,854"
166,VIR,167.0,Virgin Islands (U.S.),"4,204"
167,LBR,168.0,Liberia,"4,001"
168,SLE,169.0,Sierra Leone,"3,970"
169,FRO,170.0,Faroe Islands,"3,650"
170,SUR,171.0,Suriname,"3,621"
171,DJI,172.0,Djibouti,"3,515"
172,AND,173.0,Andorra,"3,352"
173,GRL,174.0,Greenland,"3,236"
174,TLS,175.0,Timor-Leste,"3,163"
175,ABW,176.0,Aruba,"3,126"
176,BDI,177.0,Burundi,"3,073"
177,BLZ,178.0,Belize,"2,824"
178,CUW,179.0,Curaçao,"2,700"
179,LSO,180.0,Lesotho,"2,553"
180,BTN,181.0,Bhutan,"2,540"
181,CAF,182.0,Central African Republic,"2,383"
182,CPV,183.0,Cabo Verde,"2,315"
183,GMB,184.0,"Gambia, The","2,273"
184,LCA,185.0,St. Lucia,"2,065"
185,SMR,186.0,San Marino,"1,855"
186,ATG,187.0,Antigua and Barbuda,"1,758"
187,GNB,188.0,Guinea-Bissau,"1,634"
188,SLB,189.0,Solomon Islands,"1,596"
189,SYC,190.0,Seychelles,"1,588"
190,SXM,191.0,Sint Maarten (Dutch part),"1,572"
191,GRD,192.0,Grenada,"1,256"
192,COM,193.0,Comoros,"1,243"
193,TCA,194.0,Turks and Caicos Islands,"1,139"
194,VUT,195.0,Vanuatu,984
195,KNA,196.0,St. Kitts and Nevis,962
196,VCT,197.0,St. Vincent and the Grenadines,949
197,MNP,198.0,Northern Mariana Islands,858
198,WSM,199.0,Samoa,832
199,ASM,200.0,American Samoa,709
200,DMA,201.0,Dominica,612
201,STP,202.0,São Tomé and Principe,547
202,TON,203.0,Tonga,469
203,FSM,204.0,"Micronesia, Fed. Sts.",427
204,MHL,205.0,Marshall Islands,280
205,KIR,206.0,Kiribati,223
206,PLW,207.0,Palau,218
207,NRU,208.0,Nauru,151
208,TUV,209.0,Tuvalu,60
209,VGB,12.0,British Virgin Islands, -   
210,ERI,12.0,Eritrea, -   
211,GIB,12.0,Gibraltar, -   
212,PRK,12.0,"Korea, Dem. People's Rep.", -   
213,SSD,12.0,South Sudan, -   
214,MAF,12.0,St. Martin (French part), -   
215,VEN,12.0,"Venezuela, RB", -   
216,YEM,12.0,"Yemen, Rep.", -   
217,12,12.0,12,12
218,12,12.0,12,12
219,12,12.0,12,12
220,WLD,12.0,World,"10,10,02,997"
221,12,12.0,12,12
222,12,12.0,12,12
223,EAS,12.0,East Asia & Pacific,"3,06,55,246"
224,ECS,12.0,Europe & Central Asia,"2,51,92,038"
225,LCN,12.0,Latin America & Caribbean,"67,48,778"
226,MEA,12.0,Middle East & North Africa,"44,14,423"
227,NAC,12.0,North America,"2,76,10,091"
228,SAS,12.0,South Asia,"43,61,631"
229,SSF,12.0,Sub-Saharan Africa,"20,47,347"
230,LIC,12.0,Low income,"5,21,634"
231,LMC,12.0,Lower middle income,"81,09,650"
232,UMC,12.0,Upper middle income,"3,04,95,972"
233,HIC,12.0,High income,"6,15,35,769"
